Name;Date;RecruitMap;RecruitVideo;Nationality;YouTube;Twitch;TMNF;TMUF;TMN;TM2;Ubisoft
Trasher;28/02/2014;Founder;;GER;;;;;;;
Yannex;13/08/2015;C-3;https://youtu.be/V8D9zPlLvko;SUI;;;;;;;
Crosshairs;06/08/2022;StarStadium E;https://www.youtube.com/watch?v=kSV1-RP2hqs;AZE;;;;;;;
Axell;09/02/2024;Multiple cuts;;ESP;;;;;;;
